,file_name,flight,image,date,mean_red,sd_red,mean_green,sd_green,mean_blue,sd_blue
0,2019_Feb_06_Phantom_Flight_3_129_HSV_V_fixed,3,129,2019:02:06 10:27:17,16.88,22.5,31.52,25.32,8.53,15.49
0,2019_Feb_06_Phantom_Flight_2_231_HSV_V_fixed,2,231,2019:02:06 09:45:25,16.99,22.38,30.86,25.83,9.56,15.88
0,2019_Feb_06_Phantom_Flight_3_386_HSV_V_fixed,3,386,2019:02:06 10:35:51,19.37,22.18,31.24,26.44,11.02,15.65
0,2019_Feb_06_Phantom_Flight_5_154_HSV_V_fixed,5,154,2019:02:06 11:08:07,18.34,22.47,31.18,25.95,12.51,17.84
0,2019_Feb_06_Phantom_Flight_2_297_HSV_V_fixed,2,297,2019:02:06 09:47:41,18.4,22.52,31.69,26.28,9.76,15.25
0,2019_Feb_06_Phantom_Flight_2_177_HSV_V_fixed,2,177,2019:02:06 09:43:37,18.17,22.86,31.07,25.81,9.29,15.34
0,2019_Feb_06_Phantom_Flight_4_87_HSV_V_fixed,4,87,2019:02:06 10:48:22,19.24,22.45,31.26,25.96,11.92,16.7
0,2019_Feb_06_Phantom_Flight_3_114_HSV_V_fixed,3,114,2019:02:06 10:26:47,15.73,22.74,32.15,26.27,8.45,15.9
0,2019_Feb_06_Phantom_Flight_4_137_HSV_V_fixed,4,137,2019:02:06 10:50:02,19.98,23.11,31.18,26.2,12.53,17.64
0,2019_Feb_06_Phantom_Flight_4_303_HSV_V_fixed,4,303,2019:02:06 10:55:34,18.84,22.73,31.58,26.37,12.06,17.77
0,2019_Feb_06_Phantom_Flight_5_51_HSV_V_fixed,5,51,2019:02:06 11:04:41,20.57,23.84,31.15,26.34,14.27,19.09
0,2019_Feb_06_Phantom_Flight_1_453_HSV_V_fixed,1,453,2019:02:06 10:13:54,21.21,23.96,30.98,26.45,10.78,16.54
0,2019_Feb_06_Phantom_Flight_3_320_HSV_V_fixed,3,320,2019:02:06 10:33:39,20.25,22.99,32.09,27.17,11.58,16.39
0,2019_Feb_06_Phantom_Flight_2_343_HSV_V_fixed,2,343,2019:02:06 09:49:13,19.47,23.2,31.26,26.41,11.32,16.82
0,2019_Feb_06_Phantom_Flight_1_199_HSV_V_fixed,1,199,2019:02:06 10:05:20,22.74,23.12,30.89,26.73,12.48,16.16
0,2019_Feb_06_Phantom_Flight_1_279_HSV_V_fixed,1,279,2019:02:06 10:08:04,18.37,23.17,31.78,26.49,9.01,15.3
0,2019_Feb_06_Phantom_Flight_2_426_HSV_V_fixed,2,426,2019:02:06 09:51:59,23.81,23.95,31.03,26.56,13.72,16.34
0,2019_Feb_06_Phantom_Flight_1_336_HSV_V_fixed,1,336,2019:02:06 10:09:58,16.17,22.37,31.85,26.02,7.71,14.4
0,2019_Feb_06_Phantom_Flight_1_244_HSV_V_fixed,1,244,2019:02:06 10:06:50,20.83,23.23,31.3,26.27,10.77,15.95
0,2019_Feb_06_Phantom_Flight_1_390_HSV_V_fixed,1,390,2019:02:06 10:11:46,17.1,23.07,30.85,26.47,7.73,14.81
0,2019_Feb_06_Phantom_Flight_2_339_HSV_V_fixed,2,339,2019:02:06 09:49:05,19.05,22.35,31.35,26.01,10.84,16.1
0,2019_Feb_06_Phantom_Flight_1_429_HSV_V_fixed,1,429,2019:02:06 10:13:06,17.46,22.5,31.9,26.54,8.46,14.54
0,2019_Feb_06_Phantom_Flight_5_255_HSV_V_fixed,5,255,2019:02:06 11:11:29,19.31,23.5,31.68,26.53,13.12,18.28
0,2019_Feb_06_Phantom_Flight_4_66_HSV_V_fixed,4,66,2019:02:06 10:47:40,19.26,23.43,30.9,26.28,12.79,17.95
0,2019_Feb_06_Phantom_Flight_2_196_HSV_V_fixed,2,196,2019:02:06 09:44:15,19.04,23.76,31.84,26.47,10.09,16.62
0,2019_Feb_06_Phantom_Flight_2_276_HSV_V_fixed,2,276,2019:02:06 09:46:59,19.01,23.06,31.33,26.21,11.19,17.12
0,2019_Feb_06_Phantom_Flight_3_215_HSV_V_fixed,3,215,2019:02:06 10:30:09,19.44,23.59,31.07,26.46,10.87,16.84
0,2019_Feb_06_Phantom_Flight_2_36_HSV_V_fixed,2,36,2019:02:06 09:38:53,21.87,23.0,31.18,26.19,12.17,15.93
0,2019_Feb_06_Phantom_Flight_4_236_HSV_V_fixed,4,236,2019:02:06 10:53:20,16.84,23.07,31.55,26.89,11.1,17.84
0,2019_Feb_06_Phantom_Flight_2_304_HSV_V_fixed,2,304,2019:02:06 09:47:55,19.23,23.3,31.28,26.22,10.59,16.51
0,2019_Feb_06_Phantom_Flight_3_46_HSV_V_fixed,3,46,2019:02:06 10:24:31,14.29,22.0,32.31,25.75,7.26,14.37
0,2019_Feb_06_Phantom_Flight_5_327_HSV_V_fixed,5,327,2019:02:06 11:13:53,21.45,24.4,30.9,25.83,13.97,19.34
0,2019_Feb_06_Phantom_Flight_1_414_HSV_V_fixed,1,414,2019:02:06 10:12:36,17.52,23.04,31.69,26.66,7.99,14.57
0,2019_Feb_06_Phantom_Flight_5_4_HSV_V_fixed,5,4,2019:02:06 11:03:07,18.32,22.88,31.0,26.37,11.31,17.75
0,2019_Feb_06_Phantom_Flight_5_16_HSV_V_fixed,5,16,2019:02:06 11:03:31,20.15,24.25,31.38,26.33,13.91,19.31
0,2019_Feb_06_Phantom_Flight_3_367_HSV_V_fixed,3,367,2019:02:06 10:35:13,19.42,22.57,31.1,25.88,10.87,16.17
0,2019_Feb_06_Phantom_Flight_4_290_HSV_V_fixed,4,290,2019:02:06 10:55:08,18.97,22.94,31.42,26.1,12.7,17.59
0,2019_Feb_06_Phantom_Flight_3_153_HSV_V_fixed,3,153,2019:02:06 10:28:05,17.75,23.38,31.6,25.49,9.4,16.32
0,2019_Feb_06_Phantom_Flight_2_90_HSV_V_fixed,2,90,2019:02:06 09:40:41,18.29,23.66,31.61,25.4,9.4,15.74
0,2019_Feb_06_Phantom_Flight_5_268_HSV_V_fixed,5,268,2019:02:06 11:11:55,19.38,23.76,31.57,26.47,13.35,18.73
0,2019_Feb_06_Phantom_Flight_5_188_HSV_V_fixed,5,188,2019:02:06 11:09:15,18.78,22.3,31.11,25.87,12.18,17.38
0,2019_Feb_06_Phantom_Flight_4_170_HSV_V_fixed,4,170,2019:02:06 10:51:08,19.17,23.36,31.17,26.67,12.75,17.74
0,2019_Feb_06_Phantom_Flight_3_228_HSV_V_fixed,3,228,2019:02:06 10:30:35,21.08,23.94,30.76,26.01,12.35,17.72
0,2019_Feb_06_Phantom_Flight_5_113_HSV_V_fixed,5,113,2019:02:06 11:06:45,18.05,22.95,31.45,26.38,11.5,17.47
0,2019_Feb_06_Phantom_Flight_2_130_HSV_V_fixed,2,130,2019:02:06 09:42:03,19.77,24.2,31.23,26.58,10.77,17.21
0,2019_Feb_06_Phantom_Flight_1_371_HSV_V_fixed,1,371,2019:02:06 10:11:08,17.48,23.73,31.05,26.09,8.38,15.75
0,2019_Feb_06_Phantom_Flight_3_402_HSV_V_fixed,3,402,2019:02:06 10:36:23,19.76,22.91,31.14,26.61,11.31,16.36
0,2019_Feb_06_Phantom_Flight_2_461_HSV_V_fixed,2,461,2019:02:06 09:53:09,20.96,23.38,31.26,26.82,13.51,17.66
0,2019_Feb_06_Phantom_Flight_1_145_HSV_V_fixed,1,145,2019:02:06 10:03:32,21.09,22.77,31.34,26.18,9.51,14.04
0,2019_Feb_06_Phantom_Flight_1_203_HSV_V_fixed,1,203,2019:02:06 10:05:28,22.21,22.61,31.16,26.6,11.97,15.44
0,2019_Feb_06_Phantom_Flight_1_298_HSV_V_fixed,1,298,2019:02:06 10:08:42,19.4,24.25,31.58,26.94,9.17,16.07
0,2019_Feb_06_Phantom_Flight_1_178_HSV_V_fixed,1,178,2019:02:06 10:04:38,21.57,22.55,30.94,26.42,10.9,14.97
0,2019_Feb_06_Phantom_Flight_1_130_HSV_V_fixed,1,130,2019:02:06 10:03:02,17.99,21.85,31.16,26.02,8.12,13.72
0,2019_Feb_06_Phantom_Flight_1_304_HSV_V_fixed,1,304,2019:02:06 10:08:54,18.78,23.69,31.37,26.55,9.07,15.8
0,2019_Feb_06_Phantom_Flight_2_414_HSV_V_fixed,2,414,2019:02:06 09:51:35,23.55,23.73,31.6,26.77,14.17,17.18
0,2019_Feb_06_Phantom_Flight_1_276_HSV_V_fixed,1,276,2019:02:06 10:07:58,19.36,23.91,32.28,27.07,9.42,15.68
0,2019_Feb_06_Phantom_Flight_1_196_HSV_V_fixed,1,196,2019:02:06 10:05:14,23.21,23.29,31.02,26.44,12.89,16.57
0,2019_Feb_06_Phantom_Flight_1_339_HSV_V_fixed,1,339,2019:02:06 10:10:04,16.42,22.62,31.56,26.41,7.64,14.27
0,2019_Feb_06_Phantom_Flight_2_429_HSV_V_fixed,2,429,2019:02:06 09:52:05,23.67,23.95,30.97,26.9,13.62,16.31
0,2019_Feb_06_Phantom_Flight_2_203_HSV_V_fixed,2,203,2019:02:06 09:44:29,18.32,23.27,31.48,26.74,9.8,16.13
0,2019_Feb_06_Phantom_Flight_4_138_HSV_V_fixed,4,138,2019:02:06 10:50:04,19.97,23.45,31.44,26.59,12.96,18.15
0,2019_Feb_06_Phantom_Flight_5_220_HSV_V_fixed,5,220,2019:02:06 11:10:19,19.24,23.09,31.33,26.92,11.95,17.51
0,2019_Feb_06_Phantom_Flight_4_13_HSV_V_fixed,4,13,2019:02:06 10:45:54,17.45,22.74,31.04,26.16,11.61,17.52
0,2019_Feb_06_Phantom_Flight_4_88_HSV_V_fixed,4,88,2019:02:06 10:48:24,19.0,22.19,31.02,25.67,11.54,16.43
0,2019_Feb_06_Phantom_Flight_2_178_HSV_V_fixed,2,178,2019:02:06 09:43:39,18.36,22.99,31.26,25.89,9.26,15.41
0,2019_Feb_06_Phantom_Flight_2_43_HSV_V_fixed,2,43,2019:02:06 09:39:07,20.65,22.1,31.37,26.17,11.43,15.41
0,2019_Feb_06_Phantom_Flight_4_243_HSV_V_fixed,4,243,2019:02:06 10:53:34,18.18,23.23,31.69,25.91,10.64,16.73
